02200000,CORE100206,41
02200000,MAGT572708,79
02200000,ENPO341003,30
02200000,NEEN300203,90
02200000,NUCL520203,97
02200000,GNED112110,87
02200000,JZSJ300111,66
02200000,LAWS506224,55
02000002,PHYS280209,44
02000002,BIOL422613,85
02000002,BIME512313,30
02200004,BIME510213,86
02000006,PHMA401348,17
02000006,ELEC423704,72
02000006,CORE100354,98
02000006,COMP250405,26
02000006,COMP200327,42
02000006,MAGT302618,0
02000006,GNED108712,34
02000006,PHMA500542,71
02000006,ARTS521210,64
02000006,ENGL443212,83
02200008,JZSJ400548,64
02200008,LAWS508324,54
02200008,JZSJ500426,68
02200008,ENGL440912,97
02200008,ECMT583119,33
02000010,FINA430619,86
02000010,GNED107712,38
02000010,FINA440919,78
02000010,CUIC503410,24
02000010,ENPO413303,76
02000010,ENPO529303,81
02000010,MACH502501,81
02000010,MACH502601,87
02200012,JAPN440812,84
02200012,CORE102600,50
02200012,BASM000148,94
02200012,EVNG401303,83
02200012,FRAN542512,89
02200012,CORE100304,43
02200012,MATH201107,10
02200012,EELC411005,59
02200012,MAGT300818,62
02200012,PSYL300144,40
02200012,GNED108212,40
02200012,ENGL444812,17
02000014,ITDE420116,97
02000014,ENGL530512,55
02000014,ENGL440912,0
02000014,MLMD198914,96
02000014,LITE501321,79
02000014,PHYS404909,91
02000014,FORM400643,55
02000014,ELEC321304,41
02000014,INSM900301,48
02200016,CENG422016,55
02200016,GNED108910,81
02200016,BIOL420713,52
02200016,JZSJ900101,90
02200016,ARTS109410,75
02200016,GNED101119,57
02000018,EPRA300252,100
02000018,MATH010007,97
02200020,CLIM500144,80
02200020,COMP550305,45
02200020,AUTO543205,24
02200020,PUBH301341,79
02200020,MAGT400418,74
02200020,MACH501901,67
02200020,MACH390901,22
02200020,INFT431005,96
02200020,CORE100405,56
02200020,MATH293307,81
02200020,AUTO500427,50
02000022,CORE100303,24
02000022,INFT300127,47
02000022,ELEC326104,79
02000022,CHEM200629,80
02000022,LITE435310,14
02000022,NUCL420703,53
02000022,STOM402548,57
02000022,MLMD403714,58
02200024,PHMA500742,86
02200024,FRAN442012,51
02200024,ELEC524404,86
02200024,BASM500140,84
02200024,INFT533705,86
02200024,VENG510301,100
02200024,MATH542407,0
02200024,CORE102300,62
02200024,FINA430419,77
02200024,CORE100304,81
02000026,ENPO421903,36
02000026,ARTS410510,67
02000026,PSYL300144,46
02000026,PHYS260309,99
02000026,CIVL900122,70
02000026,ARCH541322,67
02000026,FINA440319,84
02000026,GNED100601,47
02000026,CUIC401320,61
02000026,MAGT573908,54
02200028,CLIM405948,85
02200028,INTE553419,100
02200028,MECH311306,51
02200028,GNED100419,45
02000030,PHLS404110,89
02000030,GNED106603,70
02000030,PHYS200128,96
02000030,BASM300548,42
02000030,ENGL200612,50
02000030,ARTS522510,72
02000030,CLIM301348,30
02000030,PHYS410105,96
02000030,INSM401304,46
02200032,ARTS314110,84
02200032,ECND300351,96
02200032,SOCL504810,78
02200032,EVNG400703,63
02200032,MATH294607,64
02000034,FINA340319,36
02000034,CHEM249009,22
02000034,MECH516006,59
02000034,CUIC503410,91
02000034,PHYS200428,93
02000034,MAGT900108,90
02200036,BICH300940,93
02200036,ACAU511308,88
02200036,ARCH362622,43
02200036,GNED100609,72
02200036,LITE431010,63
02000038,TREC460619,38
02000038,MAGT474008,92
02000038,GNED107512,42
02000038,LAWS403424,100
